Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
April 30 2023,Loudoun,VA,Passenger,3,1,4,59,63,6.35
July 31 2021,Manassas,VA,Passenger,0,1,1,6,7,14.29
May 31 2023,Eau Claire,WI,Passenger,1,0,1,1,2,50.00
March 31 2021,Eagle,CO,Passenger,1,0,1,7,8,12.50
December 31 2019,Solano,CA,Passenger,1,0,1,210,211,0.47
April 30 2017,Deschutes,OR,Passenger,1,0,1,205,206,0.49
July 31 2019,Adams,WA,Truck,0,0,0,5128,5128,0.00
October 31 2023,Klickitat,WA,Passenger,174,70,244,15070,15314,1.59
July 31 2022,Coryell,TX,Passenger,1,0,1,97,98,1.02
May 31 2018,Juneau,AK,Passenger,0,1,1,48,49,2.04
December 31 2019,Fort Bend,TX,Passenger,1,0,1,47,48,2.08
May 31 2023,Newport News,VA,Passenger,1,0,1,104,105,0.95
December 31 2017,Lake,CA,Passenger,0,1,1,10,11,9.09
March 31 2022,Owyhee,ID,Passenger,1,0,1,2,3,33.33
June 30 2021,Ray,MO,Passenger,0,1,1,1,2,50.00
June 30 2019,Franklin,MA,Passenger,0,1,1,2,3,33.33
January 31 2021,Walla Walla,WA,Passenger,103,68,171,36151,36322,0.47
December 31 2020,Sacramento,CA,Passenger,2,1,3,258,261,1.15
August 31 2020,Pacific,WA,Truck,0,0,0,7720,7720,0.00
November 30 2021,Denton,TX,Passenger,1,0,1,78,79,1.27
January 31 2021,Duval,FL,Passenger,0,2,2,360,362,0.55
February 28 2019,Pima,AZ,Passenger,1,1,2,423,425,0.47
March 31 2021,Douglas,CO,Passenger,0,1,1,84,85,1.18
December 31 2023,Ada,ID,Passenger,2,0,2,99,101,1.98
September 30 2018,Grays Harbor,WA,Truck,0,0,0,20304,20304,0.00
September 30 2023,Alameda,CA,Passenger,5,2,7,166,173,4.05
February 28 2018,Cook,IL,Passenger,1,0,1,287,288,0.35
August 31 2020,Alexandria,VA,Passenger,3,0,3,131,134,2.24
January 31 2022,Collier,FL,Passenger,1,0,1,21,22,4.55
May 31 2024,Wichita,TX,Passenger,2,0,2,27,29,6.90
September 30 2019,Kent,MI,Passenger,0,1,1,26,27,3.70
May 31 2019,Clark,WA,Truck,0,0,0,80165,80165,0.00
November 30 2017,Skamania,WA,Passenger,10,7,17,8574,8591,0.20
January 31 2022,Klamath,OR,Passenger,1,0,1,32,33,3.03
November 30 2022,Geary,KS,Passenger,1,0,1,78,79,1.27
April 30 2020,Nueces,TX,Passenger,1,0,1,83,84,1.19
December 31 2023,Lake,IL,Passenger,5,0,5,125,130,3.85
November 30 2021,Plaquemines,LA,Passenger,0,1,1,20,21,4.76
May 31 2023,Wichita,TX,Passenger,2,0,2,34,36,5.56
September 30 2022,Fredericksburg,VA,Passenger,1,0,1,6,7,14.29
August 31 2021,Sevier,AR,Passenger,0,1,1,0,1,100.00
February 29 2020,Harrison,MS,Passenger,1,0,1,63,64,1.56
August 31 2017,Essex,NJ,Passenger,1,0,1,15,16,6.25
March 31 2021,Chelan,WA,Passenger,304,94,398,54532,54930,0.72
January 31 2021,New London,CT,Passenger,1,1,2,228,230,0.87
December 31 2017,Bexar,TX,Passenger,1,2,3,831,834,0.36
February 29 2020,Columbia,OR,Passenger,1,0,1,27,28,3.57
December 31 2020,Williams,ND,Passenger,0,1,1,10,11,9.09
October 31 2019,Albemarle,VA,Passenger,1,0,1,27,28,3.57
April 30 2017,Virginia Beach,VA,Passenger,2,1,3,641,644,0.47
January 31 2022,Klickitat,WA,Passenger,90,54,144,15297,15441,0.93
July 31 2019,Cowlitz,WA,Passenger,106,107,213,73133,73346,0.29
October 31 2023,Snohomish,WA,Passenger,15112,3423,18535,527153,545688,3.40
July 31 2018,Snohomish,WA,Truck,1,0,1,121668,121669,0.00
October 31 2022,Yellowstone,MT,Passenger,0,1,1,19,20,5.00
June 30 2023,Hardin,KY,Passenger,1,0,1,59,60,1.67
July 31 2018,Beaufort,SC,Passenger,1,0,1,41,42,2.38
February 28 2022,Clark,WA,Passenger,3628,1597,5225,318846,324071,1.61
January 31 2022,Spokane,WA,Truck,0,0,0,102544,102544,0.00
November 30 2022,Escambia,FL,Passenger,0,1,1,142,143,0.70
June 30 2023,San Bernardino,CA,Passenger,3,1,4,307,311,1.29
January 31 2018,Norfolk,MA,Passenger,1,0,1,38,39,2.56
April 30 2017,Cobb,GA,Passenger,0,1,1,79,80,1.25
August 31 2020,Bucks,PA,Passenger,1,0,1,23,24,4.17
May 31 2020,Camden,NJ,Passenger,0,1,1,22,23,4.35
October 31 2020,Monroe,IL,Passenger,1,0,1,2,3,33.33
October 31 2019,Monroe,IL,Passenger,1,0,1,4,5,20.00
April 30 2017,Lincoln,WA,Truck,0,0,0,4464,4464,0.00
March 31 2020,Fairfax,VA,Passenger,5,3,8,760,768,1.04
March 31 2017,Franklin,WA,Passenger,26,47,73,55304,55377,0.13
January 31 2022,Chelan,WA,Truck,0,0,0,23048,23048,0.00
December 31 2022,Clallam,WA,Truck,8,0,8,21862,21870,0.04
June 30 2020,Kern,CA,Passenger,0,1,1,228,229,0.44
August 31 2019,Fulton,GA,Passenger,0,3,3,108,111,2.70
April 30 2019,Montgomery,TX,Passenger,2,0,2,63,65,3.08
September 30 2023,Brevard,FL,Passenger,1,0,1,57,58,1.72
July 31 2022,Gwinnett,GA,Passenger,1,0,1,54,55,1.82
October 31 2018,St. Lucie,FL,Passenger,1,0,1,28,29,3.45
June 30 2023,Orange,NC,Passenger,0,1,1,5,6,16.67
February 28 2022,Sevier,AR,Passenger,0,1,1,0,1,100.00
February 28 2019,DeKalb,GA,Passenger,1,0,1,79,80,1.25
October 31 2022,Whatcom,WA,Passenger,1993,791,2784,148511,151295,1.84
May 31 2019,Jefferson,WA,Truck,0,0,0,9664,9664,0.00
February 28 2023,Solano,CA,Passenger,4,0,4,149,153,2.61
January 31 2017,Bergen,NJ,Passenger,0,2,2,33,35,5.71
October 31 2022,District of Columbia,DC,Passenger,2,0,2,164,166,1.20
July 31 2019,Manassas,VA,Passenger,0,1,1,9,10,10.00
September 30 2023,Washington,MD,Passenger,1,0,1,12,13,7.69
July 31 2022,Rock Island,IL,Passenger,0,1,1,13,14,7.14
May 31 2024,Las Animas,CO,Passenger,1,0,1,0,1,100.00
August 31 2020,Randolph,NC,Passenger,1,0,1,8,9,11.11
November 30 2022,Essex,NJ,Passenger,2,0,2,12,14,14.29
October 31 2022,Arapahoe,CO,Passenger,0,1,1,91,92,1.09
March 31 2023,Muscogee,GA,Passenger,0,1,1,105,106,0.94
April 30 2022,Deschutes,OR,Passenger,2,0,2,108,110,1.82
December 31 2017,Yakima,WA,Passenger,59,75,134,162051,162185,0.08
February 28 2017,Pacific,WA,Passenger,5,6,11,14989,15000,0.07
September 30 2019,Santa Clara,CA,Passenger,4,2,6,375,381,1.57
December 31 2022,Benton,WA,Passenger,930,506,1436,135600,137036,1.05
April 30 2022,Snohomish,WA,Passenger,7963,2425,10388,533592,543980,1.91
September 30 2020,Klamath,OR,Passenger,1,0,1,34,35,2.86
January 31 2022,Spokane,WA,Passenger,1346,766,2112,326260,328372,0.64
October 31 2021,San Francisco,CA,Passenger,0,1,1,102,103,0.97
April 30 2021,Asotin,WA,Truck,0,0,0,6764,6764,0.00
November 30 2022,Grays Harbor,WA,Passenger,242,161,403,48608,49011,0.82
September 30 2022,Clallam,WA,Passenger,443,249,692,49440,50132,1.38
November 30 2019,Bexar,TX,Passenger,0,5,5,674,679,0.74
January 31 2018,Santa Rosa,FL,Passenger,1,0,1,106,107,0.93
October 31 2019,Richland,SC,Passenger,0,1,1,160,161,0.62
November 30 2020,Oldham,KY,Passenger,0,1,1,4,5,20.00
October 31 2023,San Juan,WA,Passenger,663,188,851,13717,14568,5.84
April 30 2023,Columbia,WA,Truck,0,0,0,1554,1554,0.00
October 31 2020,Pinellas,FL,Passenger,1,1,2,107,109,1.83
September 30 2021,RÃ­o Grande,PR,Passenger,1,0,1,0,1,100.00
April 30 2022,Fairfax,VA,Passenger,6,3,9,660,669,1.35
June 30 2022,Island,WA,Passenger,816,379,1195,61698,62893,1.90
November 30 2018,Lee,AL,Passenger,1,0,1,37,38,2.63
August 31 2023,Currituck,NC,Passenger,1,0,1,19,20,5.00
January 31 2019,Hawaii,HI,Passenger,1,0,1,64,65,1.54
January 31 2024,Montgomery,MD,Passenger,6,2,8,171,179,4.47
December 31 2017,Polk,FL,Passenger,1,0,1,64,65,1.54
November 30 2020,Camden,NJ,Passenger,0,1,1,23,24,4.17
August 31 2021,Meade,KY,Passenger,1,0,1,28,29,3.45
January 31 2022,Deschutes,OR,Passenger,2,0,2,116,118,1.69
December 31 2018,Virginia Beach,VA,Passenger,2,1,3,690,693,0.43
March 31 2023,Clark,WA,Passenger,5292,2175,7467,313569,321036,2.33
June 30 2021,Douglas,NE,Passenger,1,1,2,54,56,3.57
November 30 2023,Okanogan,WA,Passenger,152,75,227,26057,26284,0.86
July 31 2017,Franklin,WA,Truck,0,0,0,18171,18171,0.00
September 30 2018,Cumberland,NC,Passenger,0,1,1,542,543,0.18
March 31 2020,Spartanburg,SC,Passenger,0,1,1,52,53,1.89
June 30 2020,Jones,GA,Passenger,1,0,1,1,2,50.00
June 30 2023,Currituck,NC,Passenger,1,0,1,19,20,5.00
August 31 2021,District of Columbia,DC,Passenger,4,1,5,193,198,2.53
October 31 2022,Champaign,IL,Passenger,1,0,1,12,13,7.69
February 28 2022,Douglas,CO,Passenger,0,1,1,90,91,1.10
December 31 2022,DeKalb,GA,Passenger,1,0,1,45,46,2.17
February 28 2019,Adams,WA,Passenger,4,6,10,12666,12676,0.08
October 31 2023,Denton,TX,Passenger,1,0,1,37,38,2.63
August 31 2022,Island,WA,Truck,9,0,9,21274,21283,0.04
July 31 2020,Anne Arundel,MD,Passenger,0,1,1,411,412,0.24
January 31 2023,Yellowstone,MT,Passenger,0,1,1,17,18,5.56
March 31 2019,Houston,GA,Passenger,1,0,1,57,58,1.72
January 31 2017,Yavapai,AZ,Passenger,1,0,1,89,90,1.11
August 31 2019,Juneau,AK,Passenger,0,2,2,34,36,5.56
August 31 2023,Galveston,TX,Passenger,0,1,1,13,14,7.14
February 28 2021,Rogers,OK,Passenger,1,0,1,6,7,14.29
May 31 2020,Mercer,NJ,Passenger,0,1,1,15,16,6.25
December 31 2017,Wahkiakum,WA,Passenger,0,2,2,2860,2862,0.07
October 31 2018,Collin,TX,Passenger,1,1,2,169,171,1.17
January 31 2024,Kootenai,ID,Passenger,0,1,1,90,91,1.10
March 31 2021,Platte,MO,Passenger,1,0,1,20,21,4.76
April 30 2017,Clark,WA,Truck,0,0,0,77543,77543,0.00
July 31 2021,Cumberland,NC,Passenger,0,4,4,437,441,0.91
September 30 2023,Whitman,WA,Truck,5,0,5,8678,8683,0.06
February 28 2023,Virginia Beach,VA,Passenger,3,1,4,477,481,0.83
March 31 2019,Wahkiakum,WA,Passenger,1,1,2,3006,3008,0.07
December 31 2019,Asotin,WA,Passenger,14,9,23,12673,12696,0.18
May 31 2019,Grant,WA,Truck,0,0,0,26526,26526,0.00
January 31 2021,Montgomery,MD,Passenger,1,0,1,235,236,0.42
November 30 2017,Prince George,VA,Passenger,0,1,1,70,71,1.41
February 28 2023,Cass,MN,Passenger,0,1,1,2,3,33.33
February 29 2020,DeKalb,IN,Passenger,1,0,1,1,2,50.00
May 31 2021,Bradley,TN,Passenger,1,0,1,0,1,100.00
December 31 2017,Columbia,WA,Passenger,2,1,3,2404,2407,0.12
January 31 2024,Klickitat,WA,Passenger,186,75,261,15025,15286,1.71
November 30 2017,Franklin,OH,Passenger,0,1,1,108,109,0.92
August 31 2021,Montgomery,PA,Passenger,2,0,2,23,25,8.00
July 31 2023,Meade,KY,Passenger,1,0,1,19,20,5.00
September 30 2022,Norfolk,MA,Passenger,1,0,1,24,25,4.00
June 30 2022,Tompkins,NY,Passenger,0,1,1,17,18,5.56
February 28 2021,Clinton,PA,Passenger,1,0,1,0,1,100.00
September 30 2018,Santa Clara,CA,Passenger,8,0,8,388,396,2.02
January 31 2017,Garfield,WA,Truck,0,0,0,940,940,0.00
November 30 2021,Nassau,NY,Passenger,3,0,3,33,36,8.33
January 31 2017,Pacific,WA,Passenger,5,6,11,15026,15037,0.07
February 29 2024,Wahkiakum,WA,Passenger,34,23,57,3049,3106,1.84
September 30 2023,Monterey,CA,Passenger,0,3,3,124,127,2.36
December 31 2023,Galveston,TX,Passenger,0,1,1,13,14,7.14
October 31 2022,St. Lawrence,NY,Passenger,1,0,1,2,3,33.33
July 31 2023,Columbia,WA,Passenger,11,1,12,2428,2440,0.49
April 30 2019,Chelan,WA,Truck,0,0,0,22170,22170,0.00
September 30 2022,Grant,WA,Passenger,201,108,309,66679,66988,0.46
July 31 2023,Okanogan,WA,Passenger,128,65,193,26097,26290,0.73
February 29 2020,Harnett,NC,Passenger,1,1,2,219,221,0.90
January 31 2019,Guadalupe,TX,Passenger,1,0,1,82,83,1.20
April 30 2023,Harrison,MS,Passenger,1,0,1,38,39,2.56
May 31 2021,Queens,NY,Passenger,2,0,2,52,54,3.70
November 30 2023,Larimer,CO,Passenger,1,0,1,21,22,4.55
March 31 2024,Spotsylvania,VA,Passenger,0,1,1,21,22,4.55
April 30 2023,Ventura,CA,Passenger,3,3,6,229,235,2.55
September 30 2023,Cumberland,NC,Passenger,1,3,4,312,316,1.27
April 30 2022,Whitman,WA,Truck,0,0,0,8580,8580,0.00
February 28 2023,Los Angeles,CA,Passenger,4,5,9,737,746,1.21
December 31 2019,Franklin,WA,Passenger,54,75,129,60963,61092,0.21
October 31 2019,Clay,FL,Passenger,0,1,1,89,90,1.11
November 30 2019,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
July 31 2019,Juneau,AK,Passenger,0,2,2,34,36,5.56
January 31 2019,Asotin,WA,Truck,0,0,0,6642,6642,0.00
September 30 2018,Sacramento,CA,Passenger,0,1,1,319,320,0.31
April 30 2018,Lane,OR,Passenger,0,1,1,193,194,0.52
September 30 2019,Snohomish,WA,Truck,0,0,0,122948,122948,0.00
October 31 2022,Placer,CA,Passenger,2,0,2,69,71,2.82
April 30 2019,San Mateo,CA,Passenger,2,1,3,128,131,2.29
September 30 2022,Hillsborough,FL,Passenger,1,2,3,128,131,2.29
October 31 2022,Garfield,WA,Passenger,1,3,4,1304,1308,0.31
September 30 2023,Skamania,WA,Truck,1,0,1,3814,3815,0.03
October 31 2019,Douglas,WA,Passenger,63,38,101,28266,28367,0.36
October 31 2023,Okanogan,WA,Truck,8,0,8,16345,16353,0.05
November 30 2017,Ventura,CA,Passenger,0,1,1,338,339,0.29
January 31 2020,Adams,WA,Passenger,7,7,14,12907,12921,0.11
June 30 2021,Cumberland,NC,Passenger,0,2,2,440,442,0.45
December 31 2017,Multnomah,OR,Passenger,3,3,6,886,892,0.67
August 31 2017,Nueces,TX,Passenger,0,1,1,93,94,1.06
April 30 2024,Montgomery,MD,Passenger,5,2,7,160,167,4.19
December 31 2023,Caddo,LA,Passenger,2,0,2,9,11,18.18
December 31 2023,Shelby,AL,Passenger,1,0,1,5,6,16.67
July 31 2020,Pend Oreille,WA,Truck,0,0,0,5761,5761,0.00
April 30 2024,Thurston,WA,Passenger,4201,1515,5716,186898,192614,2.97
January 31 2021,Adams,WA,Truck,0,0,0,5345,5345,0.00
May 31 2017,Hawaii,HI,Passenger,1,0,1,89,90,1.11
November 30 2018,Sangamon,IL,Passenger,1,0,1,9,10,10.00
September 30 2023,Broward,FL,Passenger,1,0,1,55,56,1.79
May 31 2024,Frederick,MD,Passenger,1,1,2,43,45,4.44
September 30 2019,Manassas,VA,Passenger,0,1,1,7,8,12.50
February 29 2024,Hawaii,HI,Passenger,1,0,1,26,27,3.70
December 31 2022,Lincoln,WA,Truck,0,0,0,4839,4839,0.00
February 28 2022,Kootenai,ID,Passenger,0,1,1,174,175,0.57
February 28 2023,San Juan,WA,Passenger,577,172,749,13864,14613,5.13
August 31 2021,San Bernardino,CA,Passenger,1,0,1,391,392,0.26
August 31 2021,New York,NY,Passenger,2,0,2,47,49,4.08
September 30 2018,Douglas,NE,Passenger,0,1,1,70,71,1.41
May 31 2021,Portsmouth,VA,Passenger,0,1,1,78,79,1.27
February 29 2024,Sedgwick,KS,Passenger,1,0,1,41,42,2.38
August 31 2021,Pierce,WA,Truck,0,0,0,145535,145535,0.00
June 30 2023,Muscogee,GA,Passenger,0,1,1,102,103,0.97
March 31 2019,Howard,MD,Passenger,0,1,1,85,86,1.16
September 30 2022,Island,WA,Passenger,874,382,1256,61476,62732,2.00
March 31 2019,Riverside,CA,Passenger,2,2,4,672,676,0.59
June 30 2017,Missoula,MT,Passenger,1,0,1,71,72,1.39
June 30 2021,Salt Lake,UT,Passenger,0,1,1,189,190,0.53
July 31 2021,Charles,MD,Passenger,1,1,2,74,76,2.63
September 30 2021,Travis,TX,Passenger,5,3,8,154,162,4.94
January 31 2024,Stafford,VA,Passenger,3,0,3,72,75,4.00
February 28 2021,Sevier,AR,Passenger,0,1,1,0,1,100.00
June 30 2023,Okanogan,WA,Passenger,123,64,187,26197,26384,0.71
July 31 2017,Whitman,WA,Passenger,12,19,31,22103,22134,0.14
November 30 2018,Moore,NC,Passenger,0,1,1,192,193,0.52
May 31 2018,Montgomery,MD,Passenger,1,0,1,292,293,0.34
June 30 2021,Howard,MD,Passenger,0,1,1,69,70,1.43
March 31 2023,Virginia Beach,VA,Truck,1,0,1,110,111,0.90
December 31 2021,Penobscot,ME,Passenger,0,1,1,9,10,10.00
June 30 2022,Dorchester,SC,Passenger,1,0,1,65,66,1.52
June 30 2018,Ada,ID,Passenger,0,2,2,336,338,0.59
May 31 2017,Klickitat,WA,Passenger,22,24,46,14788,14834,0.31
December 31 2023,Klickitat,WA,Truck,14,0,14,8185,8199,0.17
April 30 2017,Kitsap,WA,Passenger,585,298,883,172661,173544,0.51
January 31 2020,Walla Walla,WA,Passenger,65,61,126,36341,36467,0.35
April 30 2021,Thurston,WA,Truck,0,0,0,56670,56670,0.00
February 28 2022,Pacific,WA,Passenger,58,65,123,16010,16133,0.76
August 31 2017,DeKalb,GA,Passenger,1,0,1,88,89,1.12
July 31 2021,Pulaski,MO,Passenger,1,0,1,140,141,0.71
April 30 2024,Orange,CA,Truck,1,0,1,54,55,1.82
December 31 2023,Nueces,TX,Passenger,1,1,2,47,49,4.08
October 31 2021,Manassas,VA,Passenger,0,1,1,6,7,14.29
June 30 2022,Jefferson,NY,Passenger,1,0,1,221,222,0.45
October 31 2021,San Juan,WA,Passenger,469,146,615,14180,14795,4.16
July 31 2023,Virginia Beach,VA,Passenger,4,2,6,446,452,1.33
May 31 2023,San Bernardino,CA,Passenger,3,1,4,308,312,1.28
September 30 2018,Kent,MI,Passenger,0,1,1,28,29,3.45
August 31 2021,Newport,RI,Passenger,0,1,1,77,78,1.28
April 30 2024,Cuyahoga,OH,Passenger,1,0,1,35,36,2.78
May 31 2024,Yuba,CA,Passenger,1,0,1,45,46,2.17
June 30 2019,Sangamon,IL,Passenger,1,0,1,6,7,14.29
October 31 2020,Snohomish,WA,Truck,0,0,0,125296,125296,0.00
March 31 2020,El Paso,CO,Passenger,2,0,2,741,743,0.27
July 31 2020,Pend Oreille,WA,Passenger,7,5,12,9241,9253,0.13
September 30 2023,Chelan,WA,Passenger,692,187,879,54164,55043,1.60
October 31 2023,Virginia Beach,VA,Truck,1,0,1,99,100,1.00
December 31 2023,Duval,FL,Passenger,1,0,1,207,208,0.48
October 31 2021,Lane,OR,Passenger,0,2,2,126,128,1.56
January 31 2021,Anchorage,AK,Passenger,1,0,1,153,154,0.65
August 31 2019,Hennepin,MN,Passenger,3,1,4,108,112,3.57
September 30 2018,Volusia,FL,Passenger,0,1,1,41,42,2.38
August 31 2023,Dorchester,SC,Passenger,1,0,1,41,42,2.38
October 31 2019,Cowlitz,WA,Truck,0,0,0,29018,29018,0.00
March 31 2019,Cascade,MT,Passenger,0,1,1,59,60,1.67
May 31 2022,Asotin,WA,Truck,0,0,0,6700,6700,0.00
July 31 2021,Franklin,WA,Truck,0,0,0,20721,20721,0.00
November 30 2020,Prince William,VA,Passenger,2,3,5,223,228,2.19
July 31 2017,Whatcom,WA,Truck,2,0,2,41658,41660,0.00
February 28 2022,Skagit,WA,Passenger,716,316,1032,90582,91614,1.13
February 28 2023,Newport,RI,Passenger,0,1,1,62,63,1.59
January 31 2024,Frederick,MD,Passenger,2,1,3,48,51,5.88
April 30 2019,Lake,FL,Passenger,1,0,1,22,23,4.35
October 31 2022,Clark,NV,Passenger,9,2,11,507,518,2.12
March 31 2017,Duval,FL,Passenger,1,1,2,366,368,0.54
October 31 2018,Asotin,WA,Passenger,12,9,21,12709,12730,0.16
February 29 2024,Cumberland,NC,Passenger,2,3,5,281,286,1.75
July 31 2020,Kittitas,WA,Truck,0,0,0,14565,14565,0.00
April 30 2018,Thurston,WA,Truck,0,0,0,54059,54059,0.00
September 30 2018,Hennepin,MN,Passenger,1,0,1,111,112,0.89
January 31 2024,Virginia Beach,VA,Truck,1,0,1,94,95,1.05
May 31 2020,Fulton,GA,Passenger,1,3,4,110,114,3.51
June 30 2023,Santa Clara,CA,Passenger,13,3,16,200,216,7.41
July 31 2017,Ramsey,MN,Passenger,1,0,1,42,43,2.33
January 31 2024,Flathead,MT,Passenger,1,0,1,19,20,5.00
June 30 2021,Gwinnett,GA,Passenger,1,0,1,66,67,1.49
July 31 2018,Lake,CA,Passenger,0,1,1,10,11,9.09
July 31 2018,Cowlitz,WA,Passenger,57,77,134,71870,72004,0.19
January 31 2018,Clallam,WA,Passenger,106,95,201,49286,49487,0.41
October 31 2023,Tooele,UT,Passenger,2,0,2,9,11,18.18
March 31 2024,DuPage,IL,Passenger,2,1,3,26,29,10.34
January 31 2021,Skamania,WA,Truck,0,0,0,4016,4016,0.00
November 30 2021,El Paso,TX,Passenger,3,0,3,374,377,0.80
April 30 2022,Marion,OR,Passenger,1,0,1,109,110,0.91
December 31 2020,Pierce,WA,Truck,0,0,0,144709,144709,0.00
August 31 2022,Douglas,WA,Passenger,142,60,202,28365,28567,0.71
July 31 2020,Jefferson,WA,Passenger,250,142,392,24730,25122,1.56
May 31 2024,King,WA,Truck,1323,1,1324,165552,166876,0.79
October 31 2018,Stevens,WA,Passenger,15,28,43,31797,31840,0.14
January 31 2021,Anne Arundel,MD,Passenger,2,1,3,401,404,0.74
April 30 2020,Newport,RI,Passenger,0,1,1,82,83,1.20
August 31 2023,Boulder,CO,Passenger,2,0,2,31,33,6.06
May 31 2021,Skamania,WA,Truck,0,0,0,4027,4027,0.00
February 29 2024,Maricopa,AZ,Passenger,8,2,10,573,583,1.72
October 31 2020,Adams,WA,Passenger,8,7,15,12929,12944,0.12
April 30 2021,St. Louis,MO,Passenger,1,0,1,95,96,1.04
May 31 2023,Pacific,WA,Truck,3,0,3,7842,7845,0.04
July 31 2019,Denver,CO,Passenger,1,0,1,129,130,0.77
May 31 2018,Hawaii,HI,Passenger,1,0,1,78,79,1.27
May 31 2024,Hillsborough,FL,Passenger,1,2,3,74,77,3.90
September 30 2020,Portsmouth,VA,Passenger,0,1,1,69,70,1.43
September 30 2020,Ada,ID,Passenger,0,1,1,272,273,0.37
March 31 2021,Orange,CA,Passenger,4,3,7,468,475,1.47
August 31 2021,Garfield,WA,Truck,0,0,0,1001,1001,0.00
April 30 2019,New London,CT,Passenger,0,1,1,244,245,0.41
February 28 2018,Contra Costa,CA,Passenger,0,1,1,461,462,0.22
August 31 2023,Cochise,AZ,Passenger,1,0,1,59,60,1.67
November 30 2020,Kitsap,WA,Passenger,1521,736,2257,179667,181924,1.24
June 30 2021,El Dorado,CA,Passenger,1,0,1,35,36,2.78
April 30 2022,Houston,GA,Passenger,1,0,1,42,43,2.33
March 31 2024,Santa Barbara,CA,Passenger,1,0,1,58,59,1.69
March 31 2018,DeKalb,GA,Passenger,1,0,1,83,84,1.19
December 31 2023,Coryell,TX,Passenger,1,0,1,66,67,1.49
January 31 2022,Charleston,SC,Passenger,2,1,3,74,77,3.90
November 30 2023,Camden,NJ,Passenger,0,1,1,12,13,7.69
February 29 2024,Orange,NC,Passenger,0,1,1,3,4,25.00
November 30 2021,Kitsap,WA,Passenger,2082,939,3021,180193,183214,1.65
January 31 2020,Portsmouth,VA,Passenger,0,1,1,76,77,1.30
August 31 2022,District of Columbia,DC,Passenger,2,0,2,166,168,1.19
May 31 2020,San Mateo,CA,Passenger,0,1,1,124,125,0.80
February 28 2021,Palm Beach,FL,Passenger,0,2,2,79,81,2.47
June 30 2019,King,WA,Passenger,19078,7012,26090,1388633,1414723,1.84
March 31 2018,Walla Walla,WA,Truck,0,0,0,13313,13313,0.00
September 30 2023,Mobile,AL,Passenger,1,0,1,27,28,3.57
July 31 2021,Fairbanks North Star,AK,Passenger,0,1,1,89,90,1.11
March 31 2023,Pinal,AZ,Passenger,0,1,1,99,100,1.00
September 30 2023,Washoe,NV,Passenger,2,0,2,50,52,3.85
January 31 2020,Sedgwick,KS,Passenger,1,1,2,98,100,2.00
April 30 2019,San Joaquin,CA,Passenger,1,0,1,142,143,0.70
June 30 2023,Wahkiakum,WA,Passenger,26,17,43,3032,3075,1.40
August 31 2021,Klickitat,WA,Truck,0,0,0,8320,8320,0.00
October 31 2021,Skamania,WA,Truck,0,0,0,4013,4013,0.00
September 30 2021,Orange,CA,Passenger,5,2,7,431,438,1.60
December 31 2021,Franklin,WA,Passenger,162,104,266,62265,62531,0.43
July 31 2021,Clark,NV,Passenger,6,2,8,638,646,1.24
May 31 2023,Autauga,AL,Passenger,2,0,2,13,15,13.33
February 28 2018,Caddo,LA,Passenger,0,1,1,23,24,4.17
January 31 2024,Mercer,NJ,Passenger,0,1,1,5,6,16.67
November 30 2023,Whatcom,WA,Passenger,2895,1031,3926,147630,151556,2.59
March 31 2017,Lincoln,WA,Passenger,2,4,6,7507,7513,0.08
March 31 2023,Clallam,WA,Truck,17,0,17,21757,21774,0.08
August 31 2019,Garfield,WA,Truck,0,0,0,957,957,0.00
June 30 2020,Island,WA,Truck,1,0,1,21194,21195,0.00
April 30 2024,Sacramento,CA,Passenger,1,1,2,130,132,1.52
May 31 2018,Palm Beach,FL,Passenger,0,2,2,84,86,2.33
August 31 2019,Oldham,KY,Passenger,0,1,1,5,6,16.67
May 31 2024,Solano,CA,Passenger,5,0,5,118,123,4.07
September 30 2023,Stevens,WA,Truck,2,0,2,18708,18710,0.01
February 29 2024,Walla Walla,WA,Passenger,274,143,417,35166,35583,1.17
May 31 2023,Douglas,WA,Truck,7,0,7,12965,12972,0.05
September 30 2023,San Juan,WA,Truck,17,0,17,5910,5927,0.29
April 30 2021,Whatcom,WA,Passenger,1356,582,1938,151056,152994,1.27
November 30 2023,Pierce,WA,Truck,224,0,224,134939,135163,0.17
March 31 2019,Kern,CA,Passenger,0,1,1,229,230,0.43
April 30 2021,Alexandria,VA,Passenger,3,0,3,133,136,2.21
May 31 2024,Alameda,CA,Passenger,4,1,5,123,128,3.91
January 31 2020,Suffolk,MA,Passenger,0,1,1,37,38,2.63
May 31 2019,Placer,CA,Passenger,1,0,1,110,111,0.90
January 31 2020,Hennepin,MN,Passenger,3,1,4,107,111,3.60
May 31 2023,Essex,NJ,Passenger,2,0,2,9,11,18.18
January 31 2021,Okaloosa,FL,Passenger,0,1,1,144,145,0.69
July 31 2018,Mercer,NJ,Passenger,0,1,1,19,20,5.00
November 30 2020,Queens,NY,Passenger,1,0,1,54,55,1.82
May 31 2017,Collier,FL,Passenger,1,0,1,23,24,4.17
May 31 2020,Island,WA,Passenger,409,271,680,62728,63408,1.07
